timestamps,pos_com_hist,pos_clear_hist,angmom_wb_hist,heading_vec_hist
0.0,[-0.06534182 -0.87236183  0.66009006],[-0.11039083 -0.93486108 -0.00533571],[ 1.05664791 -0.28712824  0.21284416],[0.00462851 0.74998572 0.        ]
0.00504612922668457,[-0.06044074 -0.87170905  0.66400845],[-0.10999833 -0.93260137 -0.0049032 ],[ 1.49753975 -0.31533296  0.44591698],[0.01051186 0.74992633 0.        ]
0.00999903678894043,[-0.05708292 -0.87096552  0.66829475],[-0.11014222 -0.93030235 -0.00433027],[ 1.01454561 -0.35030089  0.07140976],[0.01850837 0.74977159 0.        ]
0.015052080154418945,[-0.05491758 -0.87023418  0.67294998],[-0.11043193 -0.92787382 -0.00380299],[ 0.3904298  -0.55200271 -0.16830765],[0.02764888 0.74949019 0.        ]
0.020001649856567383,[-0.05300196 -0.86919441  0.6777429 ],[-0.11079298 -0.92486443 -0.00353424],[ 0.36513749 -0.46379333 -0.19133132],[0.03699693 0.74908693 0.        ]
0.025053739547729492,[-0.05167816 -0.86812188  0.68185832],[-0.11162519 -0.92100941 -0.00507089],[ 0.50343764 -0.62844781 -0.18600579],[0.04707554 0.74852114 0.        ]
0.030000686645507812,[-0.04957597 -0.86736367  0.68655842],[-0.11241569 -0.91672375 -0.00523966],[ 0.7492678  -1.19263459 -0.29147015],[0.05609995 0.74789892 0.        ]
0.035036563873291016,[-0.04864431 -0.86660638  0.69181961],[-0.11346875 -0.91201965 -0.00526739],[-0.16128815 -0.99764475 -0.63865939],[0.06521269 0.74715949 0.        ]
0.04000735282897949,[-0.04812996 -0.86535097  0.6973368 ],[-0.11469542 -0.90667074 -0.00517067],[-0.09026841 -0.44687556 -0.47072951],[0.0736752  0.74637254 0.        ]
0.045001983642578125,[-0.04759924 -0.86424845  0.70276345],[-0.11575329 -0.90054916 -0.00519129],[-0.02405037 -1.02727874 -0.59641479],[0.08036857 0.7456815  0.        ]
0.05001211166381836,[-0.04683516 -0.86302141  0.70800988],[-0.11643288 -0.89373387 -0.00527832],[-0.0802187  -1.54673154 -0.68582295],[0.08546338 0.74511476 0.        ]
