timestamps,pos_com_hist,pos_clear_hist,angmom_wb_hist
0,[-1.83258457 -0.38254889  0.52995262],[-1.84977892 -0.5535399   0.00933808],[0.04423427 0.0506447  0.16374267]
0.08598923683,[-1.82503825 -0.29983586  0.52832882],[-1.83927856 -0.4694851   0.00722604],[0.02504804 0.05677671 0.12521782]
0.1719946861,[-1.81839771 -0.21488466  0.52703174],[-1.8302583  -0.38423037  0.00621458],[0.02286096 0.03257157 0.07401157]
0.2579951286,[-1.81241601 -0.12775622  0.52511523],[-1.82244218 -0.29659902  0.00445588],[0.02561941 0.0610255  0.08833615]
0.343965292,[-1.80754744 -0.03846094  0.52418611],[-1.81550372 -0.20749835  0.00394309],[0.0210449  0.07168205 0.1025975 ]
0.4300024509,[-1.80301549  0.05324433  0.52333939],[-1.80948203 -0.11595062  0.00358281],[0.02664575 0.03775007 0.09262694]
0.5159780979,[-1.79928866  0.14712095  0.52246935],[-1.80437144 -0.02154005  0.00263246],[0.02445106 0.00532717 0.07338094]
0.6019732952,[-1.79588276  0.24309899  0.52153066],[-1.80029897  0.07427814  0.00199089],[0.0089398  0.04964506 0.03266615]
0.6879959106,[-1.79293967  0.34082706  0.52120862],[-1.79689627e+00  1.71837447e-01  1.77755373e-03],[0.0091015  0.0443301  0.03863286]
0.7739565372,[-1.7903364   0.44020174  0.52069787],[-1.79404099e+00  2.71640284e-01  1.18616772e-03],[0.01462449 0.0881325  0.02823995]
0.8599975109,[-1.78796809  0.54231424  0.52051358],[-1.79123336e+00  3.74636273e-01  9.00858395e-04],[0.00715218 0.0628383  0.02802275]
0.9459617138,[-1.78593647  0.64824848  0.5191651 ],[-1.78891136e+00  4.81261545e-01 -3.17641325e-04],[ 0.00391765  0.08180868 -0.00055771]
1.031977415,[-1.78393634  0.75899494  0.51927572],[-1.78697649e+00  5.92932430e-01 -1.29267080e-03],[ 0.00068861  0.32142081 -0.00800005]
1.117987156,[-1.78177457  0.8832169   0.56113212],[-1.7835451   0.73277041 -0.01137888],[0.00566113 0.74343209 0.14014448]
1.204002857,[-1.77995591  1.04624568  0.69925216],[-1.78112917  0.91380519 -0.0127841 ],[ 0.04491887  1.15911704 -0.02784317]
1.289992571,[-1.7779076   1.27084166  0.935374  ],[-1.78026376  1.24709126  0.00915396],[ -0.3954187  -10.92991034   0.27620026]
1.376007318,[-1.77414684  1.41355045  1.15421742],[-1.77699717  1.6132012   0.32334248],[ 0.31037686 -3.18653861 -0.38163385]
1.461998463,[-1.77353906  1.58913353  1.31638411],[-1.77780266  1.77314874  0.57330332],[-0.08567593 -1.88913288  0.09073728]
1.547960997,[-1.77080144  1.7883893   1.41833256],[-1.77979344  1.79492865  0.76704437],[-0.20678854 -1.14714432 -0.14914219]
1.633973598,[-1.76442903  1.97422121  1.47364366],[-1.77455515  1.93744798  0.90375853],[-0.25609766  5.43726041 -0.22293241]
1.719982624,[-1.75875973  2.11175321  1.52981857],[-1.76941237  2.01632785  0.97365746],[0.09362463 1.971811   0.16087482]
