timestamps,angvel_base_hist,I_hist,h_com_hist,angmom_wb_hist
0,[ 0.05576038 -0.11535424 -1.04009498],[0.81431883 1.15876909 0.62461111],0.5351801566,[-0.0793916  -0.72160987 -0.61051837]
0.001006364822,[ 0.06064885 -0.11690038 -1.05768333],[0.81350884 1.1593017  0.62467901],0.5351047014,[-0.07758956 -0.70410385 -0.61995975]
0.00200176239,[ 0.05932287 -0.11909187 -1.06820711],[0.81279116 1.15994016 0.62475958],0.5350294549,[-0.08001254 -0.68472727 -0.62654555]
0.003027915955,[ 0.05477905 -0.11960308 -1.06811564],[0.81201318 1.16055948 0.62483353],0.5349544725,[-0.08382293 -0.66281767 -0.62763099]
0.004005432129,[ 0.04124097 -0.12060723 -1.06475657],[0.81133997 1.1611864  0.62491157],0.5348798089,[-0.0940096  -0.64485547 -0.62687964]
0.005002975464,[ 0.02748297 -0.12252127 -1.06682307],[0.81068207 1.1618738  0.6249904 ],0.5348055186,[-0.10514064 -0.63440769 -0.62974113]
0.00599694252,[ 0.0192404  -0.12447765 -1.06688395],[0.80987002 1.16240096 0.62504121],0.5347316566,[-0.11179793 -0.66246299 -0.63088022]
0.006992101669,[ 0.01141424 -0.12465657 -1.07214744],[0.80907756 1.1629383  0.62509043],0.5346582793,[-0.11859964 -0.66430069 -0.63472278]
0.007988214493,[ 0.00364165 -0.12193866 -1.07117192],[0.80821308 1.1634276  0.62512607],0.5345854448,[-0.12485432 -0.70057938 -0.63554687]
0.008995294571,[-0.00350444 -0.12042986 -1.055853  ],[0.80742039 1.16390443 0.62516373],0.5345132131,[-0.12878615 -0.69599609 -0.62753549]
0.009995222092,[-0.01374345 -0.11808536 -1.03267648],[0.80641957 1.16414396 0.62515284],0.5344416465,[-0.13409231 -0.7046752  -0.61502618]
0.01099514961,[-0.0130062  -0.11151291 -1.0377766 ],[0.80561944 1.16460056 0.62518086],0.5343708098,[-0.13418367 -0.69601523 -0.617962  ]
0.01199507713,[-0.00992302 -0.10438005 -1.04645209],[0.80473086 1.16496851 0.6251952 ],0.5343007696,[-0.13269302 -0.68423674 -0.6223215 ]
0.01299190521,[-0.00868015 -0.09806103 -1.05503659],[0.80452467 1.16607226 0.625328  ],0.5342315946,[-0.13285129 -0.66638289 -0.62694794]
0.01398968697,[-0.01361857 -0.09343554 -1.05799722],[0.80376483 1.16658676 0.6253695 ],0.5341633551,[-0.13731395 -0.67120948 -0.62981094]
0.01498961449,[-0.02218242 -0.08724494 -1.05934151],[0.80284578 1.16690083 0.62536443],0.5340961223,[-0.14391178 -0.63590898 -0.63090534]
0.01599669456,[-0.02204289 -0.0798914  -1.0562778 ],[0.80268914 1.16804086 0.62550097],0.5340299677,[-0.14380688 -0.62688222 -0.62952222]
0.01699566841,[-0.01846541 -0.07539272 -1.05520291],[0.80201672 1.16861173 0.6255503 ],0.5339649623,[-0.14108686 -0.59211367 -0.62891611]
0.01799368858,[-0.0204556  -0.07023151 -1.05853952],[0.80143142 1.16926895 0.62561479],0.5339011757,[-0.14322626 -0.59126223 -0.63130676]
0.01900076866,[-0.02110889 -0.06659954 -1.06822431],[0.80068762 1.16975296 0.62564372],0.5338386753,[-0.1446713  -0.57858802 -0.6361645 ]
0.02002644539,[-0.02023376 -0.06385278 -1.07894778],[0.80010511 1.17042414 0.62570812],0.5337775252,[-0.14558019 -0.56917728 -0.64299623]
0.02100849152,[-0.02192646 -0.06366121 -1.08462186],[0.79940881 1.17097554 0.62575721],0.5337177855,[-0.14773381 -0.57750731 -0.64654696]
0.02199935913,[-0.01580659 -0.06669056 -1.10092583],[0.79872603 1.17154791 0.62580362],0.5336595107,[-0.14501792 -0.58662383 -0.65526976]
0.02299165726,[-0.00827703 -0.07047011 -1.11494989],[0.79805729 1.17214378 0.62585806],0.5336027496,[-0.1410943  -0.5930143  -0.66304636]
0.02399110794,[-0.00243426 -0.07459047 -1.1266885 ],[0.79735996 1.17272003 0.62590885],0.533547544,[-0.13798167 -0.58609896 -0.66895204]
0.02498960495,[-0.01316506 -0.07891808 -1.12495374],[0.79669202 1.17333497 0.62596368],0.533493928,[-0.14639898 -0.58277984 -0.66960154]
0.02598929405,[-0.0274098  -0.08492382 -1.11764953],[0.79570729 1.17426391 0.62590895],0.5334419273,[-0.15666656 -0.60805586 -0.66638381]
0.02699065208,[-0.02860982 -0.09309982 -1.11725946],[0.79507638 1.17487126 0.62596048],0.5333915591,[-0.15766521 -0.59189127 -0.66618736]
0.02799963951,[-0.02759696 -0.09915091 -1.12010616],[0.79449697 1.17554488 0.62602702],0.5333428317,[-0.15717411 -0.58180617 -0.66704944]
0.02899670601,[-0.03299106 -0.10410927 -1.11724485],[0.79385399 1.17614706 0.62608401],0.5332957441,[-0.1613463  -0.58051747 -0.66658008]
0.0299949646,[-0.04802937 -0.11384899 -1.11037567],[0.79328657 1.17682235 0.62614712],0.5332502863,[-0.17255521 -0.58631595 -0.66472239]
0.03100538254,[-0.0557933  -0.11992298 -1.11300019],[0.79274755 1.17752696 0.62621481],0.5332064398,[-0.17907038 -0.58931893 -0.6670425 ]
0.0319917202,[-0.06394936 -0.12565544 -1.11870608],[0.79217221 1.17819606 0.62627291],0.5331641778,[-0.18623096 -0.55964544 -0.67131524]
0.0329875946,[-0.07094842 -0.13571711 -1.12083257],[0.79164481 1.17892485 0.62634216],0.5331234662,[-0.1918792  -0.58697439 -0.67227644]
0.03398919106,[-0.06891116 -0.14333886 -1.12040125],[0.79111626 1.17963896 0.62641169],0.5330842642,[-0.19022994 -0.5805298  -0.67108637]
0.0349881649,[-0.0692691  -0.12542747 -1.11427114],[0.79058829 1.18033112 0.62647671],0.5330465258,[-0.18994767 -0.55317171 -0.66777223]
0.03599143028,[-0.06697081 -0.0839873  -1.11756038],[0.79015624 1.18110407 0.62654899],0.5330102006,[-0.18858021 -0.47668292 -0.66943801]
0.03698778152,[-0.0743154  -0.05589777 -1.11969062],[0.78936324 1.18144303 0.6265325 ],0.5329752357,[-0.19471993 -0.45725511 -0.67217656]
0.03800916672,[-0.08574532 -0.04677843 -1.11591734],[0.78890442 1.18214763 0.62658802],0.532941577,[-0.20306306 -0.4447283  -0.67027999]
0.03899216652,[-0.09121243 -0.04901894 -1.12180952],[0.78836647 1.18276776 0.62662267],0.5329091706,[-0.20844828 -0.46469647 -0.67516618]
0.03999209404,[-0.09792918 -0.05186496 -1.11985892],[0.78768312 1.18320867 0.62661892],0.5328779652,[-0.21311426 -0.45296701 -0.67337286]
0.04099845886,[-0.09545716 -0.10003305 -1.1263611 ],[0.78761967 1.18437179 0.62675054],0.5328479128,[-0.21240303 -0.52850709 -0.67652308]
0.04199099541,[-0.09083503 -0.13728365 -1.13312235],[0.78707687 1.18501658 0.62680521],0.5328189713,[-0.20986089 -0.57989657 -0.67972779]
0.0429918766,[-0.09088685 -0.1371502  -1.14789013],[0.7863026  1.18542109 0.62680346],0.5327911056,[-0.21184535 -0.58340793 -0.68881502]
0.04399061203,[-0.09086728 -0.13240427 -1.16541939],[0.78627489 1.18664468 0.62695765],0.5327642893,[-0.2142422  -0.57821038 -0.69889247]
0.0449988842,[-0.09293    -0.13524804 -1.16987345],[0.78566775 1.18722912 0.62699789],0.5327385062,[-0.21632012 -0.57776927 -0.7008912 ]
0.04599308968,[-0.09656151 -0.13101129 -1.16943988],[0.78505861 1.18780347 0.62703248],0.5327137512,[-0.21909247 -0.56217788 -0.70073986]
0.04699230194,[-0.08658904 -0.14398275 -1.17373157],[0.78463206 1.1885774  0.62711611],0.5326900317,[-0.21209222 -0.57329112 -0.70209155]
0.04799699783,[-0.08011135 -0.14434643 -1.17621209],[0.78412317 1.18926451 0.62719331],0.5326673682,[-0.20760968 -0.58385645 -0.70296352]
0.04899001122,[-0.08556236 -0.14012451 -1.16990493],[0.78365513 1.18997938 0.62727089],0.5326457948,[-0.21145323 -0.60124107 -0.70029562]
0.04999136925,[-0.09414295 -0.1094737  -1.16263491],[0.78323322 1.19072522 0.62735186],0.5326253597,[-0.21738037 -0.56586798 -0.69696967]
0.05099034309,[-0.10252635 -0.03645918 -1.16608525],[0.782746   1.19133751 0.62739938],0.5326061247,[-0.22419847 -0.50222591 -0.69942773]
0.05198764801,[-0.10455611  0.08592855 -1.17724213],[0.78232325 1.19196246 0.62742658],0.5325881653,[-0.22721344 -0.34867638 -0.70715095]
0.05298924446,[-0.11297706  0.20868325 -1.17458001],[0.78190862 1.19251901 0.62742762],0.5325715698,[-0.2334709  -0.21907571 -0.70724145]
0.0539867878,[-0.10994824  0.25858253 -1.18088212],[0.78146456 1.19301687 0.6274182 ],0.5325564384,[-0.23183308 -0.16105184 -0.71035047]
0.05507779121,[-0.10708541  0.27847865 -1.18697985],[0.78108515 1.19357064 0.6274127 ],0.532542882,[-0.23046159 -0.14046507 -0.7135014 ]
0.05604195595,[-0.12224775  0.23573574 -1.17903172],[0.78070938 1.19413678 0.62741271],0.5325310206,[-0.24157954 -0.18928064 -0.71030076]
0.05703830719,[-0.1417342   0.17311025 -1.16484831],[0.78031288 1.19468307 0.62740316],0.5325209812,[-0.25542898 -0.2329046  -0.70437609]
0.05803751945,[-0.14926335  0.08813724 -1.16905665],[0.77999893 1.19536799 0.62742582],0.5325128964,[-0.26241689 -0.31404769 -0.70814421]
0.05905652046,[-0.14873398 -0.00547259 -1.18361843],[0.77958346 1.19598661 0.62744371],0.5325069017,[-0.26451014 -0.41693522 -0.71737428]
0.05999994278,[-0.15123042 -0.06985009 -1.19132233],[0.7791508  1.19670232 0.62747988],0.5325031333,[-0.26780541 -0.4612839  -0.72226244]
0.06101441383,[-0.15983242 -0.09622838 -1.18974586],[0.77856063 1.19785114 0.62739508],0.5325017257,[-0.27452374 -0.48378641 -0.72189938]
0.06200218201,[-0.16442993 -0.12008811 -1.18731218],[0.77826044 1.19862617 0.62745554],0.5325028088,[-0.27814047 -0.48902241 -0.72112453]
0.06300020218,[-0.15492685 -0.13304421 -1.20633857],[0.77758357 1.19898429 0.62743378],0.532506506,[-0.27303726 -0.50806897 -0.73062311]
0.06399941444,[-0.1575178  -0.18926397 -1.20104495],[0.77725696 1.1997805  0.62750207],0.532512931,[-0.27508257 -0.55612132 -0.72878709]
0.06500124931,[-0.15751158 -0.27611864 -1.18497498],[0.77689252 1.20047936 0.62757677],0.5325221857,[-0.27334252 -0.65577081 -0.71846388]
0.06604766846,[-0.15880484 -0.3438642  -1.17507639],[0.77684419 1.20161334 0.62771848],0.5325343581,[-0.27349154 -0.73241958 -0.71203551]
0.0670003891,[-0.16221838 -0.34911406 -1.17058867],[0.77641652 1.20229905 0.62779421],0.5325495198,[-0.27586229 -0.7393223  -0.70988747]
0.06800127029,[-0.16328267 -0.32214949 -1.17718599],[0.77580822 1.20275642 0.62781507],0.5325677244,[-0.27782507 -0.6903455  -0.71515498]
0.06900048256,[-0.1591976  -0.26427051 -1.18461077],[0.77589949 1.20398429 0.62797474],0.532589006,[-0.2754444  -0.61926717 -0.71762847]
0.07000112534,[-0.15612823 -0.18989326 -1.18842517],[0.77557677 1.20469807 0.62803767],0.5326133776,[-0.27364512 -0.50952028 -0.7201326 ]
0.07100224495,[-0.15856478 -0.15085195 -1.1907034 ],[0.77512018 1.20526832 0.62806042],0.5326408306,[-0.27602728 -0.46526985 -0.72244015]
0.07203698158,[-0.15835667 -0.13463993 -1.18937169],[0.77496899 1.20608297 0.6281437 ],0.532671334,[-0.27558325 -0.42224057 -0.72049179]
0.07299995422,[-0.15888707 -0.12873583 -1.17521145],[0.77466551 1.20675121 0.62820269],0.5327048342,[-0.27436248 -0.43871107 -0.7118397 ]
0.07403802872,[-0.16687959 -0.1259705  -1.16843283],[0.77444829 1.2074969  0.62826657],0.5327412557,[-0.28027786 -0.43173153 -0.7097152 ]
0.07500195503,[-0.17366422 -0.12481788 -1.16748576],[0.77423897 1.20824459 0.62833444],0.5327805014,[-0.28553478 -0.43609688 -0.70916608]
0.07600092888,[-0.17767324 -0.11041643 -1.16681614],[0.77399006 1.20892833 0.62838553],0.5328224536,[-0.28899541 -0.42323962 -0.70995389]
0.07704424858,[-0.17696776 -0.07899831 -1.17475674],[0.77376588 1.20965302 0.62844002],0.5328669759,[-0.28964295 -0.41243871 -0.71446621]
0.07800626755,[-0.17727536 -0.05742548 -1.18162044],[0.77358727 1.21035249 0.62849883],0.532913915,[-0.29091714 -0.39035067 -0.71832427]
0.07903289795,[-0.17958815 -0.07622641 -1.1877558 ],[0.77334424 1.21104684 0.6285498 ],0.5329631026,[-0.2937766  -0.4238146  -0.72191208]
0.08000254631,[-0.18745931 -0.084196   -1.18548844],[0.77321327 1.21179866 0.62861876],0.5330143584,[-0.30018936 -0.43415213 -0.72223594]
0.08100628853,[-0.18919803 -0.10981207 -1.18291286],[0.77307174 1.21257279 0.62869375],0.5330674926,[-0.30145051 -0.4763417  -0.72022399]
0.0820016861,[-0.18680737 -0.12254347 -1.18252167],[0.77289312 1.21334328 0.62876962],0.5331223095,[-0.30002905 -0.48075081 -0.72034802]
0.08300161362,[-0.17760956 -0.14021222 -1.18209861],[0.77282137 1.21416021 0.62886774],0.5331786101,[-0.29309939 -0.49625969 -0.71882226]
0.0840382576,[-0.17457722 -0.17141351 -1.16881585],[0.77273526 1.21502001 0.62897223],0.5332361963,[-0.28927556 -0.50619386 -0.71013079]
0.08500218391,[-0.17149459 -0.17867982 -1.17300218],[0.77266593 1.21584142 0.62907976],0.5332948737,[-0.28756167 -0.49791905 -0.71160802]
