h_com,gr_23,gr_01
0.4242084989,1,1
0.4242084989,4.222222222,1
0.4244998876,7.444444444,1
0.4248073621,10.66666667,1
0.424840897,13.88888889,1
0.4249986942,17.11111111,1
0.4249271273,20.33333333,1
0.4251852713,23.55555556,1
0.4251311113,26.77777778,1
0.425216447,30,1
0.7477373168,1,4.222222222
0.9812000602,4.222222222,4.222222222
0.5815636388,7.444444444,4.222222222
0.5226716473,10.66666667,4.222222222
0.581996266,13.88888889,4.222222222
0.497396315,17.11111111,4.222222222
0.4609799557,20.33333333,4.222222222
0.4489423618,23.55555556,4.222222222
0.4424216929,26.77777778,4.222222222
0.4398957367,30,4.222222222
0.9187544763,1,7.444444444
0.9679751768,4.222222222,7.444444444
1.016670041,7.444444444,7.444444444
1.248772508,10.66666667,7.444444444
1.143796469,13.88888889,7.444444444
1.138376434,17.11111111,7.444444444
1.131736237,20.33333333,7.444444444
1.156921525,23.55555556,7.444444444
1.14920416,26.77777778,7.444444444
1.137530764,30,7.444444444
1.126167276,1,10.66666667
1.159557198,4.222222222,10.66666667
1.146849665,7.444444444,10.66666667
1.122670324,10.66666667,10.66666667
1.37846009,13.88888889,10.66666667
1.752489073,17.11111111,10.66666667
1.537893558,20.33333333,10.66666667
1.515466072,23.55555556,10.66666667
1.469175433,26.77777778,10.66666667
1.508300771,30,10.66666667
1.317159118,1,13.88888889
1.336801441,4.222222222,13.88888889
1.33219528,7.444444444,13.88888889
1.285200881,10.66666667,13.88888889
1.388762004,13.88888889,13.88888889
1.549795095,17.11111111,13.88888889
1.769693718,20.33333333,13.88888889
1.937364247,23.55555556,13.88888889
1.801871266,26.77777778,13.88888889
1.804337158,30,13.88888889
1.49305256,1,17.11111111
1.499302332,4.222222222,17.11111111
1.445120725,7.444444444,17.11111111
1.366157382,10.66666667,17.11111111
1.474522578,13.88888889,17.11111111
1.621922718,17.11111111,17.11111111
1.725608067,20.33333333,17.11111111
1.835153868,23.55555556,17.11111111
1.942025413,26.77777778,17.11111111
1.98715283,30,17.11111111
1.484754904,1,20.33333333
1.438194532,4.222222222,20.33333333
1.403486175,7.444444444,20.33333333
1.366553104,10.66666667,20.33333333
1.541969281,13.88888889,20.33333333
1.678461545,17.11111111,20.33333333
1.768233091,20.33333333,20.33333333
1.826643517,23.55555556,20.33333333
1.8854695,26.77777778,20.33333333
1.947790229,30,20.33333333
1.371030895,1,23.55555556
1.35400052,4.222222222,23.55555556
1.332988449,7.444444444,23.55555556
1.331726148,10.66666667,23.55555556
1.555104951,13.88888889,23.55555556
1.720493148,17.11111111,23.55555556
1.80532293,20.33333333,23.55555556
1.854574657,23.55555556,23.55555556
1.870140309,26.77777778,23.55555556
1.919977523,30,23.55555556
1.286269233,1,26.77777778
1.282614539,4.222222222,26.77777778
1.282375258,7.444444444,26.77777778
1.287644408,10.66666667,26.77777778
1.517566523,13.88888889,26.77777778
1.741500674,17.11111111,26.77777778
1.841409292,20.33333333,26.77777778
1.879349026,23.55555556,26.77777778
1.889852842,26.77777778,26.77777778
1.897795342,30,26.77777778
1.222811485,1,30
1.223937035,4.222222222,30
1.235142852,7.444444444,30
1.245975838,10.66666667,30
1.452119347,13.88888889,30
1.733608568,17.11111111,30
1.859635248,20.33333333,30
1.90102763,23.55555556,30
1.901717318,26.77777778,30
1.889656505,30,30
